name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,Procent_masy_max,Kategoria_masy
Happy Canyon,11821,Valid,EL6/7,16300.0,Found,1971.0,34.80167,-101.56667,"(34.801670, -101.566670)",0.027166666666666665,g
Isheyevo,30726,Valid,CH/CBb,16000.0,Found,2003.0,53.61667,56.33333,"(53.616670, 56.333330)",0.02666666666666667,g
Haxtun,11863,Valid,H/L4,15500.0,Found,1975.0,40.45667,-102.57834,"(40.456670, -102.578340)",0.025833333333333333,g
Dhofar 360,7143,Valid,LL3-6,15300.0,Found,2000.0,19.04002,54.78383,"(19.040020, 54.783830)",0.0255,g
Allan Hills A78084,1699,Valid,H3.9,14280.0,Found,1978.0,-76.71667,159.66667,"(-76.716670, 159.666670)",0.0238,g
Singhur,23612,Valid,Pallasite?,14180.0,Found,1847.0,18.31667,73.91667,"(18.316670, 73.916670)",0.023633333333333333,g
Moorabie,16735,Valid,L3.8-an,14040.0,Found,1965.0,-30.01667,141.06667,"(-30.016670, 141.066670)",0.0234,g
Saint-Sauveur,23101,Valid,EH5,14000.0,Fell,1914.0,43.73333,1.38333,"(43.733330, 1.383330)",0.023333333333333334,g
Orgueil,18026,Valid,CI1,14000.0,Fell,1864.0,43.88333,1.38333,"(43.883330, 1.383330)",0.023333333333333334,g
Yamato 000593,24355,Valid,Martian (nakhlite),13713.0,Found,2000.0,-71.5,35.66667,"(-71.500000, 35.666670)",0.022855,g
Kalahari 009,30738,Valid,Lunar (basalt),13500.0,Found,1999.0,-20.9818,22.9766,"(-20.981800, 22.976600)",0.0225,g
Caldwell,5197,Valid,L-imp melt,12900.0,Found,1961.0,37.03333,-97.625,"(37.033330, -97.625000)",0.0215,g
Smara,23648,Valid,Eucrite-pmict,12870.0,Found,2000.0,26.68333,-11.73333,"(26.683330, -11.733330)",0.02145,g
Divnoe,7650,Valid,Achondrite-ung,12700.0,Found,1981.0,45.7,43.7,"(45.700000, 43.700000)",0.021166666666666667,g
Dalgaranga,5506,Valid,Mesosiderite-A,12200.0,Found,1923.0,-27.71667,117.25,"(-27.716670, 117.250000)",0.02033333333333333,g
Ragland,22372,Valid,LL3.4,12100.0,Found,1982.0,34.76778,-103.55,"(34.767780, -103.550000)",0.020166666666666666,g
Karasburg,12257,Valid,"Iron, IIIAB?",12000.0,Found,1964.0,-27.66667,18.96667,"(-27.666670, 18.966670)",0.02,g
